user_id,age,income,sex,kids_flg
717039,age_35_44,income_20_40,М,0
249358,age_35_44,income_20_40,Ж,0
489653,age_35_44,income_20_40,М,1
1046715,age_35_44,income_20_40,Ж,0
1007013,age_35_44,income_20_40,М,0
1027484,age_35_44,income_40_60,М,0
355354,age_18_24,income_20_40,Ж,0
810707,age_65_inf,income_20_40,М,0
769298,age_45_54,income_40_60,Ж,0
210102,age_35_44,income_20_40,М,1
822953,age_55_64,income_20_40,Ж,0
238314,age_18_24,income_20_40,Ж,0
822976,age_35_44,income_60_90,М,0
446403,age_18_24,income_20_40,Ж,0
711863,age_35_44,income_60_90,М,1
555247,age_35_44,income_20_40,М,0
1007024,age_55_64,income_20_40,Ж,0
288158,age_25_34,income_20_40,М,1
198458,age_25_34,income_0_20,Ж,0
801014,age_35_44,income_40_60,М,0
529001,age_45_54,income_20_40,Ж,0
208712,age_35_44,income_20_40,М,0
776485,age_25_34,income_20_40,М,1
186286,age_25_34,income_40_60,Ж,0
973702,age_25_34,income_20_40,Ж,0
39194,age_25_34,income_20_40,М,0
480907,age_35_44,income_40_60,М,0
438346,age_18_24,income_20_40,Ж,0
385391,age_55_64,income_20_40,М,0
550178,age_25_34,income_20_40,Ж,0
511241,age_55_64,income_20_40,М,0
586795,age_55_64,income_0_20,Ж,1
329392,age_25_34,income_20_40,М,0
188877,age_55_64,income_40_60,Ж,0
565307,age_25_34,income_60_90,Ж,0
727074,age_18_24,income_20_40,Ж,1
719970,age_35_44,income_40_60,М,0
47641,age_25_34,income_40_60,М,0
470489,age_65_inf,income_20_40,М,1
1009409,age_18_24,income_20_40,Ж,0
585479,age_25_34,income_20_40,М,0
993881,age_25_34,income_40_60,Ж,0
32219,age_35_44,income_20_40,М,1
685820,age_35_44,income_20_40,Ж,1
366053,age_35_44,income_20_40,Ж,1
447115,age_25_34,income_40_60,М,0
762955,age_35_44,income_20_40,М,0
877537,age_55_64,income_20_40,М,0
230759,age_18_24,income_40_60,Ж,1
111714,age_18_24,income_40_60,М,0
641290,age_25_34,income_20_40,М,0
916964,age_18_24,income_20_40,М,0
672156,age_25_34,income_20_40,Ж,1
290913,age_45_54,income_20_40,Ж,0
182973,age_55_64,income_60_90,М,0
952836,age_35_44,income_40_60,Ж,1
682619,age_25_34,income_20_40,М,1
751680,age_35_44,income_20_40,Ж,0
644369,age_65_inf,income_20_40,М,0
45468,age_35_44,income_90_150,М,1
915522,age_45_54,income_90_150,Ж,0
780357,age_55_64,income_20_40,,0
533295,age_25_34,income_20_40,Ж,0
758248,age_25_34,income_20_40,Ж,0
617478,age_18_24,income_20_40,Ж,0
986779,age_25_34,income_40_60,М,0
527369,age_25_34,income_20_40,Ж,1
967278,age_35_44,income_40_60,М,1
819181,age_18_24,income_0_20,Ж,0
674484,age_18_24,income_20_40,Ж,0
853811,age_45_54,income_20_40,М,1
859150,age_25_34,income_40_60,М,0
986426,age_25_34,income_20_40,Ж,1
520718,age_45_54,income_40_60,М,0
150431,age_35_44,income_40_60,Ж,0
782197,age_25_34,income_40_60,Ж,0
832449,age_18_24,income_20_40,Ж,0
732619,age_35_44,income_20_40,М,0
929679,age_25_34,income_20_40,Ж,1
692148,age_35_44,income_20_40,Ж,0
319847,age_18_24,income_20_40,Ж,0
378983,age_45_54,income_40_60,М,0
453952,age_18_24,income_60_90,Ж,0
889554,age_35_44,income_60_90,М,0
40105,age_25_34,income_20_40,М,0
183616,age_65_inf,income_20_40,Ж,0
181175,age_25_34,income_20_40,М,0
452251,age_35_44,income_20_40,М,1
879656,age_35_44,income_40_60,М,1
980420,age_25_34,income_0_20,Ж,1
238719,age_25_34,income_20_40,Ж,0
4001,age_18_24,income_20_40,Ж,0
162378,age_18_24,income_20_40,М,0
554979,age_25_34,income_20_40,Ж,1
520299,age_45_54,income_20_40,Ж,0
660599,age_35_44,income_40_60,Ж,0
568631,age_35_44,income_60_90,М,1
866181,age_65_inf,income_20_40,Ж,0
668338,age_25_34,income_60_90,Ж,1
168335,age_45_54,income_20_40,М,1
603909,age_18_24,income_20_40,Ж,1
529509,age_18_24,income_40_60,М,0
938110,age_25_34,income_20_40,Ж,0
790815,age_35_44,income_90_150,М,0
305710,age_45_54,income_40_60,М,0
744495,age_35_44,income_40_60,Ж,1
731428,age_25_34,income_20_40,М,1
971600,age_35_44,income_40_60,М,0
649959,age_35_44,income_20_40,Ж,1
328063,age_65_inf,income_20_40,М,0
757569,age_18_24,income_20_40,М,0
589328,age_65_inf,income_40_60,Ж,0
870087,age_25_34,income_60_90,М,0
188388,age_25_34,income_20_40,Ж,0
1034247,age_35_44,income_60_90,М,0
839176,age_35_44,income_20_40,Ж,0
518202,age_25_34,income_20_40,М,0
855529,age_25_34,income_40_60,М,0
872985,age_25_34,income_20_40,Ж,0
765608,age_35_44,income_20_40,М,0
6711,age_25_34,income_20_40,М,0
178554,age_45_54,income_40_60,М,0
739109,age_25_34,income_20_40,М,1
758050,age_35_44,income_40_60,Ж,0
272498,age_65_inf,income_20_40,Ж,0
712970,age_35_44,income_40_60,М,0
563045,age_25_34,income_20_40,М,0
93758,age_18_24,income_20_40,Ж,0
271449,age_25_34,income_20_40,М,1
704530,age_25_34,income_0_20,Ж,0
485123,age_45_54,income_40_60,Ж,0
451828,age_45_54,income_60_90,Ж,0
540070,age_25_34,income_40_60,Ж,0
830253,age_45_54,income_60_90,М,1
701891,age_35_44,income_40_60,М,1
925528,age_35_44,income_20_40,Ж,1
61543,age_55_64,income_40_60,М,0
73987,age_35_44,income_40_60,Ж,0
917454,age_18_24,income_40_60,М,0
1017539,age_25_34,income_20_40,Ж,1
484502,age_35_44,income_40_60,Ж,1
553753,age_25_34,income_40_60,М,1
610285,age_35_44,income_40_60,Ж,1
369081,age_25_34,income_40_60,М,0
489855,age_35_44,income_20_40,М,1
795130,age_45_54,income_20_40,Ж,0
211099,age_18_24,income_0_20,Ж,0
443355,age_25_34,income_40_60,Ж,0
448024,age_25_34,income_20_40,Ж,0
926480,age_25_34,income_20_40,М,0
248774,age_35_44,income_20_40,М,1
791318,age_25_34,income_60_90,Ж,1
407963,age_35_44,income_40_60,М,0
114516,age_45_54,income_40_60,Ж,1
336864,age_18_24,income_20_40,Ж,0
91424,age_55_64,income_40_60,Ж,0
410790,age_55_64,income_20_40,Ж,0
648876,age_25_34,income_20_40,Ж,1
1034879,age_18_24,income_20_40,Ж,0
815044,age_55_64,income_40_60,Ж,0
305604,age_18_24,income_20_40,Ж,1
400784,age_45_54,income_40_60,М,0
364186,age_35_44,income_60_90,Ж,1
795419,age_45_54,income_20_40,М,1
1025849,age_35_44,income_20_40,М,0
910131,age_25_34,income_20_40,М,0
569752,age_25_34,income_90_150,М,1
225323,age_25_34,income_20_40,М,0
117558,age_35_44,income_40_60,М,0
979024,age_35_44,income_20_40,М,0
338144,age_35_44,income_40_60,М,0
912281,age_55_64,income_20_40,Ж,0
658554,age_45_54,income_40_60,Ж,0
